대본	장면	사이즈	자막	코멘트
필압은 애플 펜슬 상위 50% 정도 느낌이에요.	빠르게 필기하는 펜촉 클로즈업	CU	필압 체감 상위 50%	
PDF 밑줄이나 간단 메모는 무난합니다.	문서에 형광펜 칠을 하는 모습	CU		PDF 문서 세팅
전문 일러스트까지는 무리지만 일상 필기엔 충분해요.	다이어리 앱에 일정을 적어 넣는 컷	CU		다이어리 앱 세팅
데스크톱 모드가 있어 PC처럼 쓸 수 있습니다.	데스크톱 모드 화면을 띄워 보여주는 컷	CU	데스크톱 모드	데스크톱 모드 세팅
앱 창을 띄워 멀티태스킹도 가능하죠.	여러 창이 나란히 떠 있는 화면	CU		
다만 모드 전환 속도가 꽤 느린 편입니다.	모드 전환 로딩을 기다리는 화면	CU		
전환할 때마다 3~4초는 기다려야 합니다.	로딩 아이콘이 도는 화면 클로즈업	CU		
넷플릭스 고화질 영상도 버벅임 없이 재생됐고,	넷플릭스 고화질 영상 전체 화면	CU		넷플릭스 앱 세팅
화면 분할로 유튜브·쇼핑도 동시에 됩니다.	분할 화면으로 두 앱을 띄운 컷	CU		화면 분할 세팅
레드미 패드 때와 달리 앱 강제 종료는 없었죠.	멀티태스킹 창에서 앱을 넘기는 모습	CU		
SD 카드로 영상을 대량 저장해 두기도 좋습니다.	다운로드 목록이 가득 찬 화면	CU		영상 저장 목록 세팅
고사양 3D 게임은 한계가 분명합니다.	무거운 3D 게임 실행 화면	VCR		무거운 3D 게임 세팅
원신은 옵션을 낮춰도 프레임이 끊깁니다.	버벅이며 이동하는 게임 화면	CU		
게임 전용 구매는 추천하지 않습니다.	게임을 끄고 태블릿을 내려놓는 모습	MS		
퇴근 후 두세 시간 넷플릭스를 봐도	소파에서 영화를 보는 풀샷	WS		
배터리 80% 이상이 남아 있었습니다.	배터리 잔량 시스템 창 클로즈업	CU	7040mAh	
집에서 충전 없이 뒹굴며 쓰기 좋습니다.	거치대에 올려 영상을 보는 모습	MS		
지문 인식은 없고 얼굴·비밀번호로 잠금 해제합니다.	비밀번호를 입력해 잠금을 푸는 컷	CU		
어두운 방에선 얼굴 인식이 잘 안 될 때가 있죠.	조명을 낮춘 상태에서 잠금 해제 시도	MS	어두운 조명 세팅	
영상·웹서핑·필기 위주 서브 태블릿으로 쓰기 좋습니다.	유튜브를 재생하며 소파에 기대앉는 풀샷	WS		유튜브 화면 세팅
[액세서리 및 명확한 한계점]				
정품 키보드 케이스는 약 6만 원입니다.	키보드 케이스를 태블릿에 장착하는 컷	CU	약 59,900원	키보드 케이스 세팅
키감과 펜 수납은 괜찮지만 각도 조절이 안 됩니다.	케이스를 여러 각도로 세워보는 연출	MS		
커버에 자석이 없어 흐느적거리는 게 아쉽습니다.	커버가 흐물거리며 닫히는 모습	CU		
폴리오 케이스는 자석식 덮개만 있는 제품입니다.	자석 덮개 케이스를 닫았다 여는 컷	CU	폴리오 케이스	
별도로 구매해 가볍게 들고 다니기 좋습니다.	케이스를 연 채 들어올려 보는 모습	MS		
샤오신 탭 스타일러스 펜 플러스도 있습니다.	펜 플러스 제품 페이지를 보여주는 화면	CU	Pen Plus	
버튼이 있고 무선 충전도 지원하는 업그레이드 펜이죠.	펜 버튼을 누르고 충전하는 모습	CU	무선 충전·버튼	
기본 펜이 아쉬우면 별매로 고려해 볼 만합니다.	기본 펜과 펜 플러스를 나란히 놓은 컷	MS		
[총평]				
요즘 아이패드 가격이 전반적으로 올랐잖아요.	애플 태블릿 가격 페이지를 스크롤하는 화면	CU	아이패드 가격 인상	쇼핑몰 세팅
영상·필기용 서브 기기를 찾는 분들에게	태블릿을 들고 고개를 끄덕이는 모습	MS		
합리적인 대안이 될 수 있습니다.	컷 유지	컷 유지		
구매 선택지는 크게 두 가지가 있습니다.	쿠팡 검색 화면을 보여주는 컷	CU	구매 선택지	
와우 회원가 기준 내수용 샤오신 패드는 17만 원.	샤오신 패드 상품 페이지 클로즈업	CU	약 17만 원	
매트 패널이 아니고 펜도 없으며 A/S도 없습니다.	컷 유지	컷 유지	펜 미포함·A/S 없음	
반면 국내 정식 레노버 아이디어 탭 11은 26만 원.	레노버 상품 페이지를 보여주는 화면	CU	약 26만 원	
매트 패널에 펜 포함, 기본 A/S 1년이 제공됩니다.	전용 펜과 태블릿을 함께 든 채 보여주는 컷	CU	펜 포함·A/S 1년	
유료로 워런티 연장도 가능하니 참고하세요.	워런티 안내 페이지를 짧게 보여주는 컷	CU	워런티 연장 가능	
9만 원 차이지만 구성과 A/S 차이가 큽니다.	두 상품 가격을 나란히 비교하는 화면	CU		
묻지마 저가형보다 마감과 화면이 훨씬 낫고,	컷 유지	컷 유지		
전용 펜까지 기본 제공되는 점도 큰 메리트죠.	컷 유지	컷 유지		
다만 고사양 게임이나 전문 필기엔 한계가 있습니다.	게임과 필기 화면을 교차 보여주는 컷	MS		
퇴근 후 영상·웹서핑용 서브 태블릿이 필요한 분께	소파에 기대 영상을 보는 편안한 풀샷	WS		
디디딧 추천 등급 10점 만점에 7.5점입니다.	평점 그래픽이 화면에 뜨는 마감 연출	CU	추천 7.5/10	
오늘 준비한 리뷰는 여기까지입니다.	책상 위 태블릿을 정리하며 마무리하는 모습	MS		
영상 보시고 궁금한 점이나	컷 유지	컷 유지		
직접 써보신 후기가 있다면 댓글로 공유해 주세요.	컷 유지	컷 유지		
구독과 좋아요는 다음 리뷰 제작에 큰 힘이 됩니다.	컷 유지	컷 유지		
오늘 소개해드린 제품의 장단점과 평점을 정리해드리며	핵심 장단점이 정리된 그래픽 화면	CU		
다음 영상에서 뵙겠습니다.	엔딩 로고가 뜨는 마무리 컷	MS		
