대본	장면	사이즈	자막	코멘트
필기감은 애플 펜슬의 50% 정도 퀄리티의 느낌이었고	컷 유지	컷 유지		
PDF나 간단 메모 정도는 무난하게 잘 됐습니다	빠르게 필기하고 문서에 밑줄 긋는 컷	CU	필압 체감 상위 50%	PDF 문서 세팅
전문 일러스트까지는 무리지만,	컷 유지	컷 유지		
매트 재질의 패널 덕분의 일상 필기·	컷 유지	컷 유지		
다이어리를 작성하기인 충분하죠.	다이어리 앱에 일정을 적어 넣는 컷	CU		다이어리 앱 세팅
데스크톱 모드가 있어 PC처럼 쓸 수 있고,	컷 유지	컷 유지		
앱 창을 띄워 멀티태스킹도 가능하죠.	데스크톱 모드와 여러 창이 떠 있는 화면	CU	데스크톱 모드	데스크톱 모드 세팅
다만 모드 전환 속도가 느려서,	컷 유지	컷 유지		
바꿀 때마다 3~4초는 기다려야 합니다.	모드 전환 로딩을 기다리는 화면	CU		
넷플릭스 고화질도 버벅임 없이 재생되고,	컷 유지	컷 유지		
분할 화면으로 유튜브·쇼핑도 원할하게 됩니다.	넷플릭스 재생과 분할 화면 컷	CU		넷플릭스·화면 분할 세팅
레드미 패드 때와 달리 리프래시 현상이나	컷 유지	컷 유지		
앱 강제 종료가 되는 일도 없었습니다	멀티태스킹과 다운로드 목록 화면	CU		영상 저장 목록 세팅
그러나 고사양 3D 게임을 돌리기에는	컷 유지	컷 유지		
한계가 분명해서, 원신도 옵션을 낮춰도	컷 유지	컷 유지		
프레임이 끊겼는데요.	무거운 게임 실행과 버벅이는 화면	VCR		무거운 3D 게임 세팅
그래서 게임 전용으로 사기엔 솔직히 추천드리지 않습니다	게임을 끄고 태블릿을 내려놓는 모습	MS		
배터리 용량도 넉넉해 퇴근 후 두세 시간	컷 유지	컷 유지		
넷플릭스를 봐도 배터리 80% 이상 남아,	컷 유지	컷 유지		
집에서 자유롭게 충전 없이 쓰기 좋습니다.	소파 영화 감상과 배터리 잔량 창 클로즈업	WS	7040mAh	
지문 인식은 없고 얼굴·비밀번호로 풀어야 하는데,	컷 유지	컷 유지		
어두운 방에선 얼굴 인식이 잘 안 될 때가	컷 유지	컷 유지		
있기 때문에 이부분은 좀 아쉬웠습니다	비밀번호 입력과 어두운 방 잠금 해제 시도	MS	어두운 조명 세팅	
[액세서리 및 명확한 한계점]				
정품 키보드 케이스는 약 6만 원,	컷 유지	컷 유지		
키보드의 타건감과 펜 수납 공간등	컷 유지	컷 유지		
디테일은 괜찮았지만,	키보드 케이스 장착과 각도를 세워보는 연출	CU	약 59,900원	키보드 케이스 세팅
고정형 거치대라 각도 조절이 불가능하고	컷 유지	컷 유지		
커버에 자석이 없어 흐느적거리는 것도	컷 유지	컷 유지		
아쉬웠죠.	커버가 흐물거리며 닫히는 모습	CU		
폴리오 케이스는 자석식 덮개만 있는 제품으로,	컷 유지	컷 유지		
별매 구매해 가볍게 들고 다니기 좋습니다.	자석 덮개 케이스를 닫았다 여는 컷	MS	폴리오 케이스	
샤오신 탭 스타일러스 펜 플러스는 버튼·무선 충전을 지원하고,	펜 플러스 제품 페이지를 보여주는 화면	CU	Pen Plus	
기본 펜이 아쉬우면 별매로 고려해 볼 만합니다.	기본 펜과 펜 플러스를 나란히 놓은 컷	MS	무선 충전·버튼	
[총평]				
요즘 아이패드 가격이 전반적으로 올랐잖아요,	애플 태블릿 가격 페이지를 스크롤하는 화면	CU	아이패드 가격 인상	쇼핑몰 세팅
영상·필기용 서브 기기를 찾는 분들에게	컷 유지	컷 유지		
합리적인 대안이 될 수 있습니다.	태블릿을 들고 고개를 끄덕이는 모습	MS		
구매 선택지는 크게 두 가지인데,	쿠팡 검색 화면을 보여주는 컷	CU	구매 선택지	
와우 회원가 내수용 샤오신 패드는 17만 원인 대신에	컷 유지	컷 유지		
펜이 미포함 되어 있고 매트 디스플레이도	컷 유지	컷 유지		
아닌 모델입니다.	컷 유지	컷 유지		
A/S도 해외 직구 제품이다 보니	컷 유지	컷 유지		
국내에서는 받을 수가 없죠.	샤오신 패드 상품 페이지 클로즈업	CU	약 17만 원	
반면 국내 정식 레노버 아이디어 탭 11은 26만 원,	레노버 상품 페이지를 보여주는 화면	CU	약 26만 원	
매트 패널·펜 포함·기본 A/S 1년,	컷 유지	컷 유지		
유료 워런티 연장도 가능합니다.	전용 펜과 워런티 안내 페이지를 보여주는 컷	CU	펜 포함·A/S 1년	
9만 원 차이지만 구성과 A/S 차이가 크고,	컷 유지	컷 유지		
내수용 제품보다 디스플레이 퀄리티도	컷 유지	컷 유지		
훨씬 낫습니다.	두 상품 가격을 나란히 비교하는 화면	CU		
결론적으로 레노버의 아이디어탭 11은	컷 유지	컷 유지		
전용 펜까지 기본 제공되는 점이 큰 메리트지만,	컷 유지	컷 유지		
고사양 게임이나 전문 필기엔 한계가 있어,	펜과 태블릿을 든 뒤 게임·필기 화면 교차	MS		
퇴근 후 영상·웹서핑용 서브 태블릿이	컷 유지	컷 유지		
필요한 분이라면 딱 맞는 기기가 될 것 같아요!	소파에 기대 영상을 보는 풀샷 후 평점 그래픽	CU	추천 7.5/10	
오늘 준비한 리뷰는 여기까지입니다.	책상 위 태블릿을 정리하며 마무리하는 모습	MS		
영상 보시고 궁금한 점이나	컷 유지	컷 유지		
직접 써보신 후기가 있다면 댓글로 공유해 주세요.	컷 유지	컷 유지		
구독과 좋아요는 다음 리뷰 제작에 큰 힘이 됩니다.	컷 유지	컷 유지		
오늘 소개해드린 제품의 장단점과 평점을	컷 유지	컷 유지		
정리해드리며 다음 영상에서 뵙겠습니다.	핵심 장단점 그래픽 후 엔딩 로고	CU		
