대본	장면	사이즈	자막	코멘트
다만 모드 전환 속도가 느려서, 바꿀 때마다 3~4초는 기다려야 합니다.	모드 전환 로딩을 기다리는 화면	CU		
넷플릭스 고화질도 버벅임 없이 재생되고, 분할 화면으로 유튜브·쇼핑도 됩니다.	넷플릭스 재생과 분할 화면 컷	CU		넷플릭스·화면 분할 세팅
레드미 패드 때와 달리 앱 강제 종료는 없었고, SD로 영상 대량 저장도 좋습니다.	멀티태스킹과 다운로드 목록 화면	CU		영상 저장 목록 세팅
고사양 3D 게임은 한계가 분명해서, 원신도 옵션을 낮춰도 프레임이 끊깁니다.	무거운 게임 실행과 버벅이는 화면	VCR		무거운 3D 게임 세팅
게임 전용으로 사기엔 추천하지 않습니다.	게임을 끄고 태블릿을 내려놓는 모습	MS		
퇴근 후 두세 시간 넷플릭스를 봐도 배터리 80% 이상 남아, 충전 없이 뒹굴며 쓰기 좋습니다.	소파 영화 감상과 배터리 잔량 창 클로즈업	WS	7040mAh	
지문 인식은 없고 얼굴·비밀번호로 풀어야 하는데, 어두운 방에선 얼굴 인식이 잘 안 될 때가 있죠.	비밀번호 입력과 어두운 방 잠금 해제 시도	MS	어두운 조명 세팅	
영상·웹서핑·필기 위주 서브 태블릿으로 쓰기 좋습니다.	유튜브를 재생하며 소파에 기대앉는 풀샷	WS		유튜브 화면 세팅
[액세서리 및 명확한 한계점]				
정품 키보드 케이스는 약 6만 원, 키감·펜 수납은 괜찮지만 각도 조절이 안 됩니다.	키보드 케이스 장착과 각도를 세워보는 연출	CU	약 59,900원	키보드 케이스 세팅
커버에 자석이 없어 흐느적거리는 것도 아쉬웠죠.	커버가 흐물거리며 닫히는 모습	CU		
폴리오 케이스는 자석식 덮개만 있는 제품으로, 별매 구매해 가볍게 들고 다니기 좋습니다.	자석 덮개 케이스를 닫았다 여는 컷	MS	폴리오 케이스	
샤오신 탭 스타일러스 펜 플러스는 버튼·무선 충전을 지원하고,	펜 플러스 제품 페이지를 보여주는 화면	CU	Pen Plus	
기본 펜이 아쉬우면 별매로 고려해 볼 만합니다.	기본 펜과 펜 플러스를 나란히 놓은 컷	MS	무선 충전·버튼	
[총평]				
요즘 아이패드 가격이 전반적으로 올랐잖아요,	애플 태블릿 가격 페이지를 스크롤하는 화면	CU	아이패드 가격 인상	쇼핑몰 세팅
영상·필기용 서브 기기를 찾는 분들에게 합리적인 대안이 될 수 있습니다.	태블릿을 들고 고개를 끄덕이는 모습	MS		
구매 선택지는 크게 두 가지인데,	쿠팡 검색 화면을 보여주는 컷	CU	구매 선택지	
와우 회원가 내수용 샤오신 패드는 17만 원, 펜 없음·A/S 없음·매트 패널 아님.	샤오신 패드 상품 페이지 클로즈업	CU	약 17만 원	
반면 국내 정식 레노버 아이디어 탭 11은 26만 원,	레노버 상품 페이지를 보여주는 화면	CU	약 26만 원	
매트 패널·펜 포함·A/S 1년, 유료 워런티 연장도 가능합니다.	전용 펜과 워런티 안내 페이지를 보여주는 컷	CU	펜 포함·A/S 1년	
9만 원 차이지만 구성과 A/S 차이가 크고, 묻지마 저가형보다 마감·화면도 훨씬 낫습니다.	두 상품 가격을 나란히 비교하는 화면	CU		
전용 펜까지 기본 제공되는 점도 큰 메리트지만, 고사양 게임이나 전문 필기엔 한계가 있습니다.	펜과 태블릿을 든 뒤 게임·필기 화면 교차	MS		
퇴근 후 영상·웹서핑용 서브 태블릿이 필요한 분께 디디딧 추천 7.5점 드립니다.	소파에 기대 영상을 보는 풀샷 후 평점 그래픽	CU	추천 7.5/10	
오늘 준비한 리뷰는 여기까지입니다.	책상 위 태블릿을 정리하며 마무리하는 모습	MS		
영상 보시고 궁금한 점이나 직접 써보신 후기가 있다면 댓글로 공유해 주세요.	컷 유지	컷 유지		
구독과 좋아요는 다음 리뷰 제작에 큰 힘이 됩니다.	컷 유지	컷 유지		
오늘 소개해드린 제품의 장단점과 평점을 정리해드리며 다음 영상에서 뵙겠습니다.	핵심 장단점 그래픽 후 엔딩 로고	CU		
