대본	장면	사이즈	자막	코멘트
앞서 말한 매트 패널 덕분에	펜으로 화면에 글씨를 쓰는 컷	CU		메모 앱 세팅
해 드는 창가에서도 눈이 편했고,	소파에 기대 화면을 보는 풀샷	WS		
필기할 땐 종이에 쓰는 듯한	컷 유지	컷 유지		
느낌이 나서 꽤 만족스러웠어요.	빠르게 필기하는 펜촉 클로즈업	CU	매트 패널 필기감	
전용 펜은 기본으로 들어 있고,	펜을 집어 드는 손을 보여주는 컷	CU	전용 펜 기본 제공	
안에 AAAA 건전지 1개가 들어갑니다.	펜 끝을 열어 건전지를 보여주는 디테일	CU	AAAA 건전지	
솔직히 필기감은 애플 펜슬의	컷 유지	컷 유지		
반쯤 수준이지만, PDF 밑줄이나	문서에 형광펜 칠을 하는 모습	CU		PDF 문서 세팅
간단 메모는 충분히 잘 됐어요.	컷 유지	컷 유지	필압 체감 50%	
일러스트까지는 무리지만	다이어리 앱에 일정을 적어 넣는 컷	CU		다이어리 앱 세팅
다이어리 꾸미기엔 꽤 즐겁더라고요.	컷 유지	컷 유지		
8기가 램이라 화면 분할해서	화면을 분할해 두 앱을 띄운 컷	CU		화면 분할 세팅
유튜브 보면서 쇼핑해도 버벅임 없고,	분할 화면을 스크롤하는 모습	CU		
레드미 때처럼 리프레시나	멀티태스킹 창에서 앱을 넘기는 컷	CU		
강제 종료도 없어서 속 시원했어요.	컷 유지	컷 유지		
데스크톱 모드도 써 봤는데,	데스크톱 모드 화면을 띄워 보여주는 컷	CU	데스크톱 모드	데스크톱 모드 세팅
PC처럼 창 여러 개 띄우긴 좋은데	여러 창이 나란히 떠 있는 화면	CU		
모드 바꿀 때마다 3~4초씩	모드 전환 로딩을 기다리는 화면	CU		
기다려야 해서 좀 답답했습니다.	로딩 아이콘이 도는 화면 클로즈업	CU		
넷플릭스 고화질도 무리 없이 돌아가고,	넷플릭스 고화질 영상 전체 화면	CU		넷플릭스 앱 세팅
퇴근 후 두세 시간 봐도	소파에서 영화를 보는 풀샷	WS		
배터리 80%는 넘게 남더라고요.	배터리 잔량 시스템 창 클로즈업	CU	7040mAh	
7040mAh 용량이 체감되게	컷 유지	컷 유지		
넉넉하다는 느낌이 확 왔어요.	거치대에 올려 영상을 보는 모습	MS		
반면 게임은 솔직히 힘들었어요.	무거운 3D 게임 실행 화면	VCR		무거운 3D 게임 세팅
원신도 옵션 낮춰도 프레임이	버벅이며 이동하는 게임 화면	CU		
끊겨서 답답함이 남았습니다.	컷 유지	컷 유지		
게임용으로 사긴 정말 비추예요.	게임을 끄고 태블릿을 내려놓는 모습	MS		
지문 인식은 없어서	비밀번호를 입력해 잠금을 푸는 컷	CU		
얼굴·비번으로 풀어야 하는데,	컷 유지	컷 유지		
어두운 방에선 인식이 잘 안 돼	조명을 낮춘 상태에서 잠금 해제 시도	MS	어두운 조명 세팅	
이 부분은 좀 아쉬웠습니다.	컷 유지	컷 유지		
[액세서리 및 명확한 한계점]				
정품 키보드 케이스는 약 6만 원,	키보드 케이스를 태블릿에 장착하는 컷	CU	약 59,900원	키보드 케이스 세팅
타건감과 펜 수납은 괜찮았지만,	화면에 텍스트가 입력되는 타이핑 컷	CU		
고정형 거치대라 각도 조절이 안 되고,	케이스를 여러 각도로 세워보는 연출	MS		
커버 자석도 없어 흐느적거려	커버가 흐물거리며 닫히는 모습	CU		
아쉬움이 남았습니다.	컷 유지	컷 유지		
폴리오 케이스는 자석 덮개만 있는	자석 덮개 케이스를 닫았다 여는 컷	MS	폴리오 케이스	
별매품인데 가볍게 들고 다니기 좋아요.	케이스를 연 채 들어올려 보는 모습	CU		
펜 플러스는 버튼·무선 충전 지원하고,	펜 플러스 제품 페이지를 보여주는 화면	CU	Pen Plus	
기본 펜이 아쉬우면 고려해 볼 만해요.	기본 펜과 펜 플러스를 나란히 놓은 컷	MS	무선 충전·버튼	
[가격 및 구매 선택지]				
가격 얘기도 짚고 넘어갈게요.	온라인 쇼핑몰 검색 화면을 보여주는 컷	MS		쇼핑몰 세팅
요즘 아이패드 값이 전반적으로	애플 태블릿 가격 페이지를 스크롤하는 화면	CU	아이패드 가격 인상	
많이 올라서 서브 기기 찾기가	컷 유지	컷 유지		
어려우신 분들 꽤 계실 텐데요.	태블릿을 들고 고개를 끄덕이는 모습	MS		
구매 선택지는 크게 두 가지예요.	쿠팡 검색 화면을 보여주는 컷	CU	구매 선택지	
와우 회원가 내수용 샤오신 패드는	샤오신 패드 상품 페이지 클로즈업	CU	약 17만 원	
17만 원인데, 펜이 없고	컷 유지	컷 유지	펜 미포함	
매트 패널도 아니고 A/S도	컷 유지	컷 유지	A/S 없음	
해외 직구라 국내 수리가 어렵죠.	컷 유지	컷 유지		
반면 국내 정식 아이디어 탭 11은	레노버 상품 페이지를 보여주는 화면	CU	약 26만 원	
26만 원, 매트 패널에 펜 포함,	전용 펜과 태블릿을 함께 든 채 보여주는 컷	CU	펜 포함	
기본 A/S 1년에 워런티 연장도	워런티 안내 페이지를 짧게 보여주는 컷	CU	A/S 1년	
가능합니다.	컷 유지	컷 유지	워런티 연장	
9만 원 차이지만 구성 차이가 커서	두 상품 가격을 나란히 비교하는 화면	CU		
저는 정식 모델 쪽이 낫다고 봐요.	컷 유지	컷 유지		
[총평]				
결론적으로 이 제품은	소파에 기대 영상을 보는 편안한 풀샷	WS		
퇴근 후 혼자 영상 보고	컷 유지	컷 유지		
가볍게 필기하는 분에게	펜으로 메모하는 디테일 컷	CU		
딱 맞는 서브 태블릿이에요.	컷 유지	컷 유지		
게임이나 전문 작업 용도는	게임과 필기 화면을 교차 보여주는 컷	MS		
솔직히 기대하시면 안 됩니다.	컷 유지	컷 유지		
그래도 가격 대비 만족도는 높아서	평점 그래픽이 화면에 뜨는 마감 연출	CU	추천 7.5/10	
디디딧은 7.5점 드리겠습니다.	컷 유지	컷 유지		
오늘 준비한 리뷰는 여기까지입니다.	책상 위 태블릿을 정리하며 마무리하는 모습	MS		
영상 보시고 궁금한 점이나	컷 유지	컷 유지		
직접 써보신 후기가 있다면 댓글로 공유해 주세요.	컷 유지	컷 유지		
구독과 좋아요는 다음 리뷰 제작에 큰 힘이 됩니다.	컷 유지	컷 유지		
오늘 소개해드린 제품의 장단점과 평점을	컷 유지	컷 유지		
정리해드리며 다음 영상에서 뵙겠습니다.	핵심 장단점 그래픽 후 엔딩 로고	CU		
